T,Wind Direction,Wind Speed,Temperature,Cloud Cover,Easting,Northing
0,121,26,11,4,7,9
0,17,0,10,3,8,9
0,50,1,8,1,9,9
0,137,2,6,3,0,10
0,80,27,5,0,1,10
0,32,4,6,4,2,10
0,181,15,10,1,3,10
0,312,3,4,4,4,10
0,28,30,5,2,5,10
0,12,6,8,3,6,10
0,241,20,5,1,7,10
0,91,8,7,4,8,10
0,148,14,7,4,9,10
0,168,12,10,0,0,11
0,86,3,7,2,1,11
0,52,23,4,1,2,11
0,360,19,5,0,3,11
0,242,28,12,0,4,11
0,89,0,9,2,5,11
0,268,18,9,0,6,11
0,265,15,9,3,7,11
0,147,17,11,1,8,11
0,209,7,11,4,9,11
0,4,29,6,1,0,12
0,44,27,9,2,1,12
0,48,25,5,4,2,12
0,127,10,8,1,3,12
0,81,6,4,3,4,12
0,248,26,8,3,5,12
0,49,8,8,1,6,12
0,101,14,11,4,7,12
0,322,26,10,3,8,12
0,174,3,12,3,9,12
0,157,16,10,0,0,13
0,38,27,11,0,1,13
0,306,0,6,0,2,13
0,321,9,11,1,3,13
0,249,21,5,4,4,13
0,136,2,8,3,5,13
0,115,4,12,3,6,13
0,352,11,12,3,7,13
0,246,0,8,2,8,13
0,29,13,6,2,9,13
0,334,3,10,0,0,14
0,202,20,4,0,1,14
0,334,11,9,1,2,14
0,165,1,7,2,3,14
0,354,13,6,0,4,14
0,161,0,5,2,5,14
0,347,10,9,3,6,14
0,348,8,6,3,7,14
0,345,10,8,0,8,14
0,200,27,11,2,9,14
0,50,19,11,3,0,15
0,242,29,4,2,1,15
0,169,23,7,0,2,15
0,59,15,8,1,3,15
0,229,27,5,2,4,15
0,103,19,7,1,5,15
0,256,23,12,2,6,15
0,31,12,12,4,7,15
0,21,25,7,1,8,15
0,14,29,9,3,9,15
0,33,11,10,3,0,16
0,288,9,5,1,1,16
0,176,6,12,4,2,16
0,198,30,5,1,3,16
0,287,12,9,2,4,16
0,232,16,4,2,5,16
0,192,12,8,1,6,16
0,246,16,11,0,7,16
0,227,7,5,2,8,16
0,265,10,9,1,9,16
0,187,12,7,0,0,17
0,176,10,5,1,1,17
0,4,24,4,3,2,17
0,176,20,9,1,3,17
0,270,12,8,0,4,17
0,67,2,12,0,5,17
0,106,25,12,2,6,17
0,49,19,6,1,7,17
0,77,1,9,4,8,17
0,283,26,5,1,9,17
0,261,11,12,2,0,18
0,36,4,9,1,1,18
0,145,12,5,4,2,18
0,253,27,4,3,3,18
0,36,28,7,0,4,18
0,62,27,6,2,5,18
0,346,24,6,3,6,18
0,161,30,10,4,7,18
0,204,27,10,4,8,18
0,115,16,10,0,9,18
0,234,5,12,4,0,19
0,103,6,9,4,1,19
0,303,14,9,3,2,19
0,298,30,4,1,3,19
0,13,21,5,3,4,19
0,208,23,11,2,5,19
0,0,0,12,1,6,19
0,310,8,7,4,7,19
0,245,23,6,4,8,19
0,114,11,4,3,9,19
1,3,18,8,4,0,0
1,8,30,9,1,1,0
1,8,18,5,0,2,0
1,2,14,8,2,3,0
1,7,29,10,3,4,0
1,6,15,4,2,5,0
1,1,27,6,4,6,0
1,7,28,11,1,7,0
1,5,30,6,2,8,0
1,6,18,10,0,9,0
1,7,10,12,1,0,1
1,2,4,4,4,1,1
1,2,12,7,0,2,1
1,5,18,9,2,3,1
1,1,0,12,0,4,1
1,5,9,7,0,5,1
1,5,13,9,4,6,1
1,2,27,4,3,7,1
1,7,28,4,4,8,1
1,5,13,12,1,9,1
1,6,29,10,2,0,2
1,4,20,4,2,1,2
1,7,0,8,3,2,2
1,6,29,10,4,3,2
1,6,26,4,2,4,2
1,6,15,10,2,5,2
1,5,30,4,2,6,2
1,4,23,6,0,7,2
1,2,22,8,3,8,2
1,3,4,11,3,9,2
1,1,19,11,0,0,3
1,3,15,4,4,1,3
1,7,14,9,0,2,3
1,6,3,7,0,3,3
1,3,0,6,4,4,3
1,1,4,8,3,5,3
1,8,24,8,4,6,3
1,3,27,7,2,7,3
1,3,25,10,4,8,3
1,7,13,6,1,9,3
1,7,20,4,3,0,4
1,3,24,5,4,1,4
1,4,0,7,1,2,4
1,2,3,4,2,3,4
1,2,30,8,3,4,4
1,2,14,6,4,5,4
1,4,9,11,1,6,4
1,2,4,5,3,7,4
1,6,14,6,0,8,4
1,5,26,11,2,9,4
1,5,20,5,1,0,5
1,3,21,7,0,1,5
1,3,14,12,0,2,5
1,4,21,7,1,3,5
1,8,20,8,1,4,5
1,5,23,7,0,5,5
1,7,0,12,3,6,5
1,5,18,11,2,7,5
1,8,23,12,3,8,5
1,6,26,5,3,9,5
1,5,19,12,0,0,6
1,1,4,7,2,1,6
1,6,14,4,1,2,6
1,3,6,9,3,3,6
1,1,24,4,0,4,6
1,2,5,6,2,5,6
1,4,25,7,1,6,6
1,6,3,8,3,7,6
1,3,29,10,2,8,6
1,8,3,4,0,9,6
1,1,13,8,4,0,7
1,5,30,10,2,1,7
1,3,22,8,3,2,7
1,7,28,7,0,3,7
1,6,27,9,3,4,7
1,4,30,12,2,5,7
1,2,23,9,3,6,7
1,8,28,9,1,7,7
1,5,27,12,2,8,7
1,1,7,11,1,9,7
1,3,24,4,3,0,8
1,6,24,6,1,1,8
1,2,21,10,3,2,8
1,8,13,12,0,3,8
1,7,30,12,3,4,8
1,3,26,9,0,5,8
1,8,13,4,1,6,8
1,4,0,4,1,7,8
1,2,7,6,4,8,8
1,3,23,11,1,9,8
1,5,16,7,0,0,9
1,5,4,4,1,1,9
1,4,3,11,4,2,9
1,7,10,4,4,3,9
1,7,26,6,1,4,9
1,8,30,12,1,5,9
1,2,23,9,1,6,9
1,6,25,10,4,7,9
1,6,14,6,2,8,9
1,8,15,7,2,9,9
1,5,15,12,0,0,10
1,4,21,9,0,1,10
1,2,19,11,4,2,10
1,6,6,11,2,3,10
1,3,21,4,1,4,10
1,6,10,6,0,5,10
1,6,2,5,3,6,10
1,7,15,9,0,7,10
1,5,17,8,2,8,10
1,3,19,10,3,9,10
1,7,27,12,3,0,11
1,1,21,8,2,1,11
1,5,0,8,0,2,11
1,8,12,12,3,3,11
1,7,13,8,1,4,11
1,7,1,4,3,5,11
1,5,18,4,1,6,11
1,7,7,9,0,7,11
1,7,22,9,4,8,11
1,1,19,8,3,9,11
1,8,7,5,2,0,12
1,7,23,8,0,1,12
1,2,3,10,2,2,12
1,5,8,6,3,3,12
1,8,2,12,1,4,12
1,6,30,11,4,5,12
1,7,27,11,4,6,12
1,6,8,6,0,7,12
1,5,15,12,1,8,12
1,5,2,11,1,9,12
1,2,25,5,3,0,13
1,1,2,8,1,1,13
1,2,19,8,1,2,13
1,5,7,9,3,3,13
1,5,7,7,4,4,13
1,5,24,11,2,5,13
1,3,17,8,2,6,13
1,2,24,11,3,7,13
1,8,24,5,1,8,13
1,3,11,4,1,9,13
1,8,9,11,1,0,14
1,2,29,11,4,1,14
1,5,11,5,4,2,14
1,3,25,5,0,3,14
1,4,13,4,0,4,14
1,7,23,5,3,5,14
1,6,16,8,0,6,14
1,5,4,12,1,7,14
1,5,12,9,1,8,14
1,5,24,9,2,9,14
1,7,20,4,3,0,15
1,2,7,11,0,1,15
1,3,0,11,0,2,15
1,4,6,7,1,3,15
1,7,9,12,1,4,15
1,3,7,5,2,5,15
1,6,16,9,3,6,15
1,5,28,8,1,7,15
1,4,28,4,3,8,15
1,5,13,10,3,9,15
1,8,13,4,4,0,16
1,5,6,4,1,1,16
1,7,17,7,1,2,16
1,1,4,7,2,3,16
1,3,0,5,2,4,16
1,6,27,7,4,5,16
1,8,15,7,2,6,16
1,8,29,6,0,7,16
1,2,10,11,3,8,16
1,4,14,7,0,9,16
1,3,23,5,3,0,17
1,7,1,4,3,1,17
1,6,12,4,2,2,17
1,8,9,11,1,3,17
1,7,15,9,0,4,17
1,1,6,11,3,5,17
1,8,27,10,3,6,17
1,8,29,8,3,7,17
1,8,10,5,2,8,17
1,7,27,9,2,9,17
1,3,13,4,0,0,18
1,3,25,11,0,1,18
1,4,1,5,4,2,18
1,4,20,11,3,3,18
1,5,26,9,3,4,18
1,5,30,5,1,5,18
1,3,21,7,0,6,18
1,2,9,10,0,7,18
1,8,17,11,4,8,18
1,4,25,11,3,9,18
1,2,15,12,1,0,19
1,1,5,11,3,1,19
1,8,6,10,0,2,19
1,6,13,7,0,3,19
1,7,30,9,3,4,19
1,5,10,10,1,5,19
1,7,6,12,4,6,19
1,7,16,9,4,7,19
1,5,22,10,0,8,19
1,6,1,5,3,9,19
2,4,19,9,4,0,0
2,4,31,10,0,1,0
2,8,19,6,0,2,0
2,2,15,9,3,3,0
2,7,30,11,1,4,0
2,2,16,5,4,5,0
2,5,28,7,2,6,0
2,8,29,12,0,7,0
2,4,31,7,1,8,0
2,4,19,11,4,9,0
2,8,11,13,0,0,1
2,8,5,5,2,1,1
2,1,13,8,2,2,1
2,4,19,10,1,3,1
2,1,1,13,2,4,1
2,4,10,8,2,5,1
2,5,14,10,2,6,1
2,8,28,5,0,7,1
2,8,29,5,0,8,1
2,6,14,13,3,9,1
2,1,30,11,1,0,2
2,5,21,5,2,1,2
2,3,1,9,2,2,2
2,3,30,11,4,3,2
2,2,27,5,2,4,2
2,6,16,11,2,5,2
2,5,31,5,4,6,2
2,4,24,7,0,7,2
2,4,23,9,4,8,2
2,5,5,12,0,9,2
2,6,20,12,3,0,3
2,8,16,5,4,1,3
2,1,15,10,0,2,3
2,6,4,8,2,3,3
2,3,1,7,1,4,3
2,3,5,9,1,5,3
2,3,25,9,4,6,3
2,5,28,8,2,7,3
2,1,26,11,3,8,3
2,7,14,7,0,9,3
2,3,21,5,1,0,4
2,8,25,6,3,1,4
2,3,1,8,0,2,4
2,8,4,5,0,3,4
2,1,31,9,4,4,4
2,4,15,7,3,5,4
2,6,10,12,0,6,4
2,5,5,6,1,7,4
2,7,15,7,0,8,4
2,3,27,12,0,9,4
2,5,21,6,0,0,5
2,1,22,8,1,1,5
2,3,15,13,0,2,5
2,6,22,8,4,3,5
2,3,21,9,3,4,5
2,3,24,8,1,5,5
2,1,1,13,0,6,5
2,8,19,12,1,7,5
2,3,24,13,1,8,5
2,3,27,6,0,9,5
2,7,20,13,4,0,6
2,1,5,8,4,1,6
2,8,15,5,3,2,6
2,6,7,10,0,3,6
2,7,25,5,2,4,6
2,8,6,7,3,5,6
2,4,26,8,1,6,6
2,2,4,9,4,7,6
2,7,30,11,0,8,6
2,3,4,5,1,9,6
2,5,14,9,2,0,7
2,4,31,11,0,1,7
2,8,23,9,1,2,7
2,7,29,8,0,3,7
2,1,28,10,0,4,7
2,8,31,13,2,5,7
2,2,24,10,0,6,7
2,1,29,10,2,7,7
2,6,28,13,4,8,7
2,5,8,12,3,9,7
2,7,25,5,4,0,8
2,6,25,7,4,1,8
2,4,22,11,3,2,8
2,6,14,13,1,3,8
2,1,31,13,3,4,8
2,4,27,10,2,5,8
2,6,14,5,2,6,8
2,5,1,5,1,7,8
2,1,8,7,0,8,8
2,2,24,12,0,9,8
2,2,17,8,3,0,9
2,8,5,5,4,1,9
2,2,4,12,3,2,9
2,3,11,5,1,3,9
2,1,27,7,4,4,9
2,4,31,13,3,5,9
2,1,24,10,4,6,9
2,8,26,11,2,7,9
2,4,15,7,2,8,9
2,5,16,8,4,9,9
2,6,16,13,0,0,10
2,1,22,10,3,1,10
2,1,20,12,2,2,10
2,7,7,12,2,3,10
2,5,22,5,4,4,10
2,2,11,7,1,5,10
2,5,3,6,2,6,10
2,5,16,10,1,7,10
2,2,18,9,1,8,10
2,7,20,11,2,9,10
2,1,28,13,1,0,11
2,3,22,9,1,1,11
2,4,1,9,2,2,11
2,1,13,13,2,3,11
2,3,14,9,1,4,11
2,8,2,5,0,5,11
2,5,19,5,1,6,11
2,2,8,10,3,7,11
2,1,23,10,0,8,11
2,4,20,9,2,9,11
2,5,8,6,4,0,12
2,8,24,9,4,1,12
2,5,4,11,0,2,12
2,6,9,7,2,3,12
2,7,3,13,1,4,12
2,7,31,12,3,5,12
2,4,28,12,2,6,12
2,6,9,7,2,7,12
2,4,16,13,2,8,12
2,1,3,12,3,9,12
2,8,26,6,4,0,13
2,5,3,9,1,1,13
2,1,20,9,3,2,13
2,4,8,10,2,3,13
2,6,8,8,2,4,13
2,6,25,12,2,5,13
2,8,18,9,1,6,13
2,7,25,12,0,7,13
2,8,25,6,3,8,13
2,8,12,5,4,9,13
2,3,10,12,4,0,14
2,2,30,12,2,1,14
2,2,12,6,0,2,14
2,3,26,6,0,3,14
2,8,14,5,3,4,14
2,4,24,6,1,5,14
2,4,17,9,4,6,14
2,2,5,13,3,7,14
2,1,13,10,4,8,14
2,6,25,10,2,9,14
2,2,21,5,1,0,15
2,7,8,12,2,1,15
2,1,1,12,2,2,15
2,3,7,8,4,3,15
2,8,10,13,3,4,15
2,3,8,6,0,5,15
2,3,17,10,2,6,15
2,8,29,9,0,7,15
2,1,29,5,3,8,15
2,7,14,11,0,9,15
2,5,14,5,4,0,16
2,6,7,5,1,1,16
2,8,18,8,1,2,16
2,8,5,8,0,3,16
2,2,1,6,0,4,16
2,3,28,8,1,5,16
2,7,16,8,1,6,16
2,4,30,7,0,7,16
2,8,11,12,1,8,16
2,4,15,8,0,9,16
2,1,24,6,4,0,17
2,7,2,5,4,1,17
2,1,13,5,2,2,17
2,5,10,12,2,3,17
2,8,16,10,3,4,17
2,7,7,12,0,5,17
2,1,28,11,1,6,17
2,7,30,9,1,7,17
2,3,11,6,2,8,17
2,1,28,10,2,9,17
2,7,14,5,1,0,18
2,6,26,12,2,1,18
2,4,2,6,0,2,18
2,1,21,12,1,3,18
2,6,27,10,0,4,18
2,3,31,6,0,5,18
2,5,22,8,0,6,18
2,6,10,11,4,7,18
2,2,18,12,1,8,18
2,5,26,12,2,9,18
2,2,16,13,4,0,19
2,1,6,12,3,1,19
2,4,7,11,2,2,19
2,4,14,8,2,3,19
2,1,31,10,0,4,19
2,1,11,11,2,5,19
2,7,7,13,3,6,19
2,4,17,10,2,7,19
2,1,23,11,1,8,19
2,3,2,6,0,9,19
3,7,20,10,4,0,0
3,7,32,11,2,1,0
3,3,20,7,1,2,0
3,4,16,10,2,3,0
3,8,31,12,1,4,0
3,4,17,6,2,5,0
3,6,29,8,4,6,0
3,2,30,13,4,7,0
3,3,32,8,1,8,0
3,1,20,12,2,9,0
3,1,12,14,0,0,1
3,4,6,6,2,1,1
3,5,14,9,4,2,1
3,6,20,11,0,3,1
3,6,2,14,0,4,1
3,5,11,9,1,5,1
3,2,15,11,0,6,1
3,2,29,6,1,7,1
3,5,30,6,4,8,1
3,4,15,14,1,9,1
3,4,31,12,3,0,2
3,1,22,6,4,1,2
3,2,2,10,0,2,2
3,5,31,12,3,3,2
3,8,28,6,3,4,2
3,2,17,12,4,5,2
3,5,32,6,2,6,2
3,4,25,8,2,7,2
3,8,24,10,4,8,2
3,7,6,13,1,9,2
3,4,21,13,4,0,3
3,7,17,6,2,1,3
3,7,16,11,2,2,3
3,6,5,9,0,3,3
3,8,2,8,3,4,3
3,4,6,10,2,5,3
3,2,26,10,4,6,3
3,6,29,9,2,7,3
3,2,27,12,0,8,3
3,6,15,8,0,9,3
3,5,22,6,1,0,4
3,3,26,7,2,1,4
3,1,2,9,4,2,4
3,5,5,6,3,3,4
3,6,32,10,3,4,4
3,7,16,8,2,5,4
3,1,11,13,3,6,4
3,3,6,7,1,7,4
3,2,16,8,0,8,4
3,5,28,13,2,9,4
3,5,22,7,4,0,5
3,3,23,9,3,1,5
3,7,16,14,4,2,5
3,4,23,9,4,3,5
3,7,22,10,2,4,5
3,2,25,9,4,5,5
3,3,2,14,3,6,5
3,8,20,13,1,7,5
3,7,25,14,2,8,5
3,3,28,7,3,9,5
3,3,21,14,1,0,6
3,2,6,9,1,1,6
3,5,16,6,3,2,6
3,4,8,11,3,3,6
3,2,26,6,4,4,6
3,6,7,8,2,5,6
3,6,27,9,0,6,6
3,3,5,10,4,7,6
3,1,31,12,4,8,6
3,5,5,6,0,9,6
3,1,15,10,1,0,7
3,8,32,12,1,1,7
3,5,24,10,3,2,7
3,7,30,9,1,3,7
3,5,29,11,2,4,7
3,8,32,14,2,5,7
3,7,25,11,1,6,7
3,6,30,11,3,7,7
3,8,29,14,1,8,7
3,5,9,13,1,9,7
3,4,26,6,1,0,8
3,7,26,8,1,1,8
3,6,23,12,2,2,8
3,4,15,14,2,3,8
3,6,32,14,2,4,8
3,3,28,11,1,5,8
3,7,15,6,4,6,8
3,3,2,6,3,7,8
3,1,9,8,2,8,8
3,1,25,13,3,9,8
3,1,18,9,2,0,9
3,7,6,6,0,1,9
3,4,5,13,1,2,9
3,8,12,6,0,3,9
3,6,28,8,1,4,9
3,3,32,14,4,5,9
3,6,25,11,3,6,9
3,4,27,12,2,7,9
3,6,16,8,0,8,9
3,2,17,9,3,9,9
3,1,17,14,2,0,10
3,7,23,11,0,1,10
3,6,21,13,4,2,10
3,1,8,13,3,3,10
3,2,23,6,1,4,10
3,1,12,8,3,5,10
3,7,4,7,4,6,10
3,1,17,11,1,7,10
3,4,19,10,4,8,10
3,3,21,12,2,9,10
3,3,29,14,0,0,11
3,6,23,10,0,1,11
3,1,2,10,2,2,11
3,3,14,14,3,3,11
3,8,15,10,2,4,11
3,7,3,6,0,5,11
3,7,20,6,2,6,11
3,7,9,11,4,7,11
3,8,24,11,0,8,11
3,5,21,10,4,9,11
3,5,9,7,2,0,12
3,4,25,10,0,1,12
3,7,5,12,4,2,12
3,7,10,8,4,3,12
3,6,4,14,2,4,12
3,1,32,13,4,5,12
3,6,29,13,3,6,12
3,7,10,8,0,7,12
3,5,17,14,2,8,12
3,2,4,13,0,9,12
3,8,27,7,4,0,13
3,1,4,10,0,1,13
3,4,21,10,2,2,13
3,7,9,11,4,3,13
3,7,9,9,0,4,13
3,1,26,13,1,5,13
3,1,19,10,0,6,13
3,8,26,13,0,7,13
3,4,26,7,4,8,13
3,8,13,6,3,9,13
3,6,11,13,0,0,14
3,5,31,13,0,1,14
3,7,13,7,0,2,14
3,7,27,7,4,3,14
3,8,15,6,3,4,14
3,3,25,7,3,5,14
3,6,18,10,3,6,14
3,1,6,14,0,7,14
3,1,14,11,4,8,14
3,2,26,11,3,9,14
3,3,22,6,2,0,15
3,2,9,13,4,1,15
3,5,2,13,0,2,15
3,1,8,9,4,3,15
3,6,11,14,4,4,15
3,4,9,7,1,5,15
3,8,18,11,3,6,15
3,6,30,10,1,7,15
3,5,30,6,4,8,15
3,4,15,12,1,9,15
3,4,15,6,2,0,16
3,6,8,6,3,1,16
3,4,19,9,2,2,16
3,2,6,9,0,3,16
3,6,2,7,4,4,16
3,3,29,9,4,5,16
3,6,17,9,2,6,16
3,8,31,8,0,7,16
3,6,12,13,2,8,16
3,2,16,9,1,9,16
3,1,25,7,4,0,17
3,4,3,6,2,1,17
3,3,14,6,4,2,17
3,4,11,13,0,3,17
3,7,17,11,1,4,17
3,7,8,13,4,5,17
3,8,29,12,0,6,17
3,2,31,10,0,7,17
3,3,12,7,1,8,17
3,6,29,11,1,9,17
3,6,15,6,4,0,18
3,8,27,13,0,1,18
3,3,3,7,3,2,18
3,1,22,13,2,3,18
3,4,28,11,2,4,18
3,4,32,7,2,5,18
3,1,23,9,1,6,18
3,5,11,12,0,7,18
3,3,19,13,1,8,18
3,4,27,13,3,9,18
3,8,17,14,4,0,19
3,6,7,13,3,1,19
3,3,8,12,0,2,19
3,6,15,9,0,3,19
3,3,32,11,1,4,19
3,4,12,12,1,5,19
3,4,8,14,4,6,19
3,3,18,11,3,7,19
3,3,24,12,1,8,19
3,2,3,7,0,9,19
4,6,21,11,4,0,0
4,3,33,12,2,1,0
4,4,21,8,2,2,0
4,2,17,11,0,3,0
4,4,32,13,3,4,0
4,7,18,7,4,5,0
4,3,30,9,1,6,0
4,2,31,14,1,7,0
4,7,33,9,1,8,0
4,8,21,13,2,9,0
4,6,13,15,2,0,1
4,4,7,7,1,1,1
4,5,15,10,4,2,1
4,7,21,12,3,3,1
4,2,3,15,0,4,1
4,8,12,10,1,5,1
4,5,16,12,0,6,1
4,4,30,7,0,7,1
4,3,31,7,1,8,1
4,6,16,15,3,9,1
4,8,32,13,0,0,2
4,3,23,7,4,1,2
4,4,3,11,3,2,2
4,1,32,13,2,3,2
4,8,29,7,4,4,2
4,3,18,13,3,5,2
4,2,33,7,2,6,2
4,7,26,9,2,7,2
4,1,25,11,4,8,2
4,2,7,14,1,9,2
4,5,22,14,1,0,3
4,4,18,7,4,1,3
4,8,17,12,1,2,3
4,1,6,10,2,3,3
4,4,3,9,0,4,3
4,5,7,11,1,5,3
4,6,27,11,0,6,3
4,5,30,10,4,7,3
4,1,28,13,0,8,3
4,5,16,9,1,9,3
4,1,23,7,4,0,4
4,4,27,8,3,1,4
4,1,3,10,3,2,4
4,8,6,7,4,3,4
4,1,33,11,2,4,4
4,8,17,9,0,5,4
4,3,12,14,1,6,4
4,3,7,8,2,7,4
4,6,17,9,3,8,4
4,5,29,14,0,9,4
4,3,23,8,1,0,5
4,8,24,10,0,1,5
4,5,17,15,2,2,5
4,2,24,10,0,3,5
4,3,23,11,1,4,5
4,5,26,10,1,5,5
4,8,3,15,4,6,5
4,7,21,14,1,7,5
4,5,26,15,2,8,5
4,3,29,8,2,9,5
4,6,22,15,3,0,6
4,1,7,10,3,1,6
4,6,17,7,3,2,6
4,2,9,12,0,3,6
4,2,27,7,4,4,6
4,4,8,9,2,5,6
4,8,28,10,1,6,6
4,7,6,11,1,7,6
4,7,32,13,3,8,6
4,3,6,7,1,9,6
4,6,16,11,3,0,7
4,4,33,13,2,1,7
4,7,25,11,1,2,7
4,2,31,10,2,3,7
4,1,30,12,0,4,7
4,6,33,15,2,5,7
4,1,26,12,0,6,7
4,4,31,12,2,7,7
4,1,30,15,2,8,7
4,3,10,14,3,9,7
4,3,27,7,4,0,8
4,5,27,9,1,1,8
4,7,24,13,0,2,8
4,6,16,15,2,3,8
4,7,33,15,3,4,8
4,3,29,12,2,5,8
4,7,16,7,3,6,8
4,3,3,7,2,7,8
4,2,10,9,4,8,8
4,1,26,14,1,9,8
4,4,19,10,3,0,9
4,2,7,7,2,1,9
4,1,6,14,4,2,9
4,6,13,7,0,3,9
4,1,29,9,1,4,9
4,4,33,15,1,5,9
4,1,26,12,2,6,9
4,8,28,13,0,7,9
4,2,17,9,4,8,9
4,2,18,10,3,9,9
4,6,18,15,4,0,10
4,2,24,12,1,1,10
4,3,22,14,4,2,10
4,2,9,14,0,3,10
4,6,24,7,1,4,10
4,8,13,9,0,5,10
4,7,5,8,0,6,10
4,8,18,12,1,7,10
4,3,20,11,2,8,10
4,4,22,13,3,9,10
4,1,30,15,0,0,11
4,1,24,11,4,1,11
4,5,3,11,3,2,11
4,6,15,15,3,3,11
4,8,16,11,4,4,11
4,1,4,7,4,5,11
4,1,21,7,2,6,11
4,4,10,12,0,7,11
4,1,25,12,4,8,11
4,6,22,11,2,9,11
4,5,10,8,3,0,12
4,3,26,11,1,1,12
4,7,6,13,4,2,12
4,6,11,9,3,3,12
4,7,5,15,3,4,12
4,4,33,14,1,5,12
4,1,30,14,4,6,12
4,8,11,9,1,7,12
4,4,18,15,1,8,12
4,6,5,14,3,9,12
4,8,28,8,2,0,13
4,4,5,11,2,1,13
4,5,22,11,0,2,13
4,3,10,12,3,3,13
4,7,10,10,1,4,13
4,2,27,14,4,5,13
4,4,20,11,2,6,13
4,4,27,14,1,7,13
4,4,27,8,1,8,13
4,6,14,7,2,9,13
4,6,12,14,2,0,14
4,6,32,14,1,1,14
4,5,14,8,1,2,14
4,5,28,8,1,3,14
4,2,16,7,3,4,14
4,2,26,8,1,5,14
4,8,19,11,2,6,14
4,7,7,15,1,7,14
4,7,15,12,4,8,14
4,8,27,12,0,9,14
4,2,23,7,0,0,15
4,7,10,14,2,1,15
4,8,3,14,0,2,15
4,1,9,10,2,3,15
4,2,12,15,1,4,15
4,2,10,8,4,5,15
4,7,19,12,2,6,15
4,6,31,11,1,7,15
4,8,31,7,3,8,15
4,1,16,13,3,9,15
4,1,16,7,3,0,16
4,5,9,7,1,1,16
4,6,20,10,1,2,16
4,3,7,10,4,3,16
4,8,3,8,2,4,16
4,6,30,10,4,5,16
4,7,18,10,0,6,16
4,7,32,9,3,7,16
4,5,13,14,1,8,16
4,8,17,10,2,9,16
4,7,26,8,0,0,17
4,7,4,7,3,1,17
4,3,15,7,3,2,17
4,6,12,14,1,3,17
4,5,18,12,3,4,17
4,7,9,14,1,5,17
4,5,30,13,1,6,17
4,6,32,11,0,7,17
4,8,13,8,2,8,17
4,1,30,12,0,9,17
4,7,16,7,0,0,18
4,8,28,14,2,1,18
4,6,4,8,0,2,18
4,1,23,14,2,3,18
4,7,29,12,1,4,18
4,7,33,8,0,5,18
4,7,24,10,0,6,18
4,8,12,13,1,7,18
4,2,20,14,3,8,18
4,3,28,14,2,9,18
4,7,18,15,0,0,19
4,8,8,14,1,1,19
4,5,9,13,4,2,19
4,5,16,10,1,3,19
